case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,27,0,3004392.0909920144,14972397.301971197,14.936361766297956,75.11901144790629
sat60_user50,60.0,50.0,27,1,2364526.1766475346,14302582.949954627,11.570805904256714,71.75844110044842
sat60_user50,60.0,50.0,28,0,3071060.63261243,15041544.064255213,15.281167296253903,75.4659322840074
sat60_user50,60.0,50.0,28,1,3366597.0805388275,15346544.710478509,16.800996709826276,76.99617137414441
sat60_user50,60.0,50.0,29,0,4057016.949296387,16043810.25361318,20.314521194918,80.49446881255933
sat60_user50,60.0,50.0,29,1,2367526.367187969,14307506.544883473,11.586904818584323,71.78314359809289
sat60_user50,60.0,50.0,30,0,1403779.85287182,13208238.91562629,6.087120013131862,66.26793403269983
sat60_user50,60.0,50.0,30,1,3815799.15133108,15799618.012596259,19.091290176895136,79.26931564568658
sat60_user50,60.0,50.0,31,0,3767595.4249278232,15754281.830564838,18.846377064464804,79.04185646491781
sat60_user50,60.0,50.0,31,1,3223603.3375304504,15195804.233529333,16.067248145345797,76.23988127227302
sat60_user50,60.0,50.0,32,0,4853672.010209378,16843770.22698069,24.335707033704615,84.50800129117056
sat60_user50,60.0,50.0,32,1,3091608.7129897135,15062283.83200523,15.387279122646543,75.56998715685903
sat60_user50,60.0,50.0,33,0,4055621.313643729,16041131.664610587,20.307453875714838,80.48102988517529
sat60_user50,60.0,50.0,33,1,2700540.290687103,14659946.653601132,13.352882564571118,73.55139443441902
sat60_user50,60.0,50.0,34,0,2667928.468234916,14622062.974856773,13.181552142883886,73.36132569837338
sat60_user50,60.0,50.0,34,1,4421058.109608784,16417270.03169979,22.1548227621293,82.36817874910844
sat60_user50,60.0,50.0,35,0,4344859.56861384,16337651.135527093,21.77008810390042,81.96871748052243
sat60_user50,60.0,50.0,35,1,3187473.683847254,15159070.235864367,15.88139906335963,76.05558068183467
sat60_user50,60.0,50.0,36,0,1528042.9549959905,13359688.385685055,6.851249902264777,67.02778141924263
sat60_user50,60.0,50.0,36,1,4477104.12263899,16472732.285485903,22.437672449515055,82.64644211761669
sat60_user50,60.0,50.0,37,0,5078105.054511937,17071221.853814464,25.465378486855435,85.649163998717
sat60_user50,60.0,50.0,37,1,1336010.5277460522,13122323.554002475,5.659150746079744,65.83688224339461
sat60_user50,60.0,50.0,38,0,2519882.0689043975,14471417.370783117,12.399665506167663,72.60551156794853
sat60_user50,60.0,50.0,38,1,2352704.709136704,14287992.427099952,11.50733435887102,71.68523801166275
sat60_user50,60.0,50.0,39,0,3225466.7474466893,15200865.451996246,16.07682815738103,76.26527424909398
sat60_user50,60.0,50.0,39,1,3196911.976254201,15170466.077468857,15.929968134872984,76.11275551905639
sat60_user50,60.0,50.0,40,0,4188492.911211749,16179014.12736922,20.979846578590205,81.17280917700595
sat60_user50,60.0,50.0,40,1,3878972.863383169,15863123.839458365,19.41200961335992,79.58793496240389
sat60_user50,60.0,50.0,41,0,2006191.8961356285,13913532.089182178,9.615030188643267,69.80650795387174
sat60_user50,60.0,50.0,41,1,3397115.353624261,15375809.060838087,16.95725340778814,77.14299549805841
sat60_user50,60.0,50.0,42,0,4000274.0137310056,15986090.509452587,20.027094851305097,80.20487923764716
sat60_user50,60.0,50.0,42,1,2756441.615294164,14714754.12138324,13.645880747489873,73.8263726426611
sat60_user50,60.0,50.0,43,0,706655.3339368056,12197344.452054271,1.0114566009079045,61.196105827818386
sat60_user50,60.0,50.0,43,1,1952628.3901260458,13850593.24678564,9.315894829722804,69.49073326206356
sat60_user50,60.0,50.0,44,0,1445564.6265014028,13263121.180688435,6.346858837653057,66.54328756260355
sat60_user50,60.0,50.0,44,1,4162786.074607586,16149293.8243784,20.84982628155064,81.02369746450694
sat60_user50,60.0,50.0,45,0,2076018.4368931234,13986930.948434485,10.001983808106441,70.17476229549543
sat60_user50,60.0,50.0,45,1,3988265.4062960777,15977647.78610104,19.966242708248284,80.16252068767598
